Ingredient1,Ingredient2,Rank
white fish,seal liver,0
white fish,rolled oats,0
white fish,salt pork fried,0
white fish,ymer,0
white fish,macaroni,0
white fish,semolina,0
white fish,rye flakes,0
white fish,flax,0
white fish,dried apricots,0
white fish,dried yellow split peas,0
white fish,rye sourdough,0
white fish,raspberry cordial,0
white fish,orange,0
white fish,sweet small beer,0
white fish,caraway,0
white fish,wort,0
white fish,rye kernels,0
white fish,mixed rye and pine bark flour,0
white fish,ground rye malt,0
white fish,graham flour,0
white fish,rye dough,0
white fish,rice porridge filling,0
white fish,semolina porridge,0
white fish,wholemeal flour,0
white fish,lingon berries,0
white fish,shredded cabbage,0
white fish,sheets of puff pastry,0
white fish,meat pastry,0
white fish,baker ammonia,0
white fish,sweet wheat bun dough,0
white fish,pearl sugar,0
white fish,white icing,0
white fish,chocolate icing,0
white fish,almond paste,0
white fish,sugar pastry filling,0
white fish,saffron,0
white fish,vodka,0
white fish,cardamom,0
white fish,icing sugar,0
white fish,white icing,0
white fish,poppy,0
white fish,firm set raspberry jam,0
white fish,pistachios,0
white fish,bicarbonate of soda,0
white fish,almond biscuit batter,0
white fish,chocolate buttercream,0
white fish,dark chocolate,0
white fish,cloudberry cream,0
white fish,chopped almonds,0
white fish,cocoa powder,0
white fish,biscuit,0
white fish,peppermint oil,0
white fish,red food colouring,0
white fish,candied orange peel,0
white fish,fresh orange juice,0
white fish,flaked almonds,0
white fish,sugared lingonberries,0
white fish,acidic apples,0
white fish,vanilla pastry cream,0
white fish,sockerkaka,0
white fish,raspberry jam,0
white fish,green marzipan,0
white fish,pink marzipan rose,0
white fish,strawberries,0
white fish,ground almonds,0
white fish,toasted almond flakes,0
white fish,thin pancakes,0
white fish,coconut fat,0
white fish,buttercream,0
white fish,instant flan,0
white fish,liquid rennet,0
white fish,meringue,0
white fish,chocolate sauce,0
white fish,apple compote,0
white fish,pie crust,0
white fish,fudge caramel sauce,0
white fish,almond biscuits,0
white fish,saffron threads,0
white fish,citrus peel,0
white fish,full fat sour cream,0
white fish,blueberries,0
white fish,cloudberry jam,0
white fish,chicken meat and bones,0
white fish,yellow mustard,0
white fish,leaf pork lard,0
white fish,beef suet,0
white fish,pickling cucumbers,0
white fish,dill flowers,0
white fish,cassia cinnamon stick,0
white fish,purslane stalks,0
white fish,pork dripping,0
white fish,soft fruit,0
white fish,cordial,0
white fish,dried rosehips sugar,0
white fish,apple juice,0
white fish,rhubarb,0
white fish,gooseberries sugar,0
white fish,sago pearls,0
white fish,dark rum,0
white fish,aquavit,0
white fish,table liquor,0
white fish,vermouth,0
white fish,gin,0
white fish,neutral grain spirit,0
white fish,porter beer,0
white fish,battavia arrack,0
white fish,black tea,0
white fish,vanilla bean,0
white fish,sprout,0
turbot,lutefisk,0
turbot,salted cod,0
turbot,firm waxy potatoes,0
turbot,red bell peppers,0
turbot,aged fish,0
turbot,cod tongues and cheeks,0
turbot,cod roe,0
turbot,raisins,0
turbot,baking powder,0
turbot,fish stock,0
turbot,celeriac,0
turbot,fish balls,0
turbot,smoked bacon,0
turbot,floury potatoes,0
turbot,sweet fried onions,0
turbot,fermented skate,0
turbot,boiled shrimp,0
turbot,iceberg lettuce,0
turbot,cooked lobster,0
turbot,cooked mussels,0
turbot,cooked shrimp,0
turbot,pilot whale,0
turbot,pilot whale blubber,0
turbot,pilot whale meat,0
turbot,pearl barley,0
turbot,mixed seal meat,0
turbot,blubber,0
turbot,innards,0
turbot,seal intestines,0
turbot,seal blubber,0
turbot,crowberries,0
turbot,roseroot leaves,0
turbot,chicken,0
turbot,chicken stock,0
turbot,chicken liver,0
turbot,chicken heart,0
turbot,salad dressing,0
turbot,salted peanuts,0
turbot,creme fraiche,0
turbot,hen,0
turbot,prunes,0
turbot,roux,0
turbot,duck,0
turbot,goose,0
turbot,grouse,0
turbot,carcasses,0
turbot,woodcock,0
turbot,puffins,0
turbot,fulmar chicks,0
turbot,fulmar eggs,0
turbot,girolles,0
turbot,frozen reindeer,0
turbot,moose shoulder,0
turbot,juniper berries,0
turbot,pork tenderloin,0
turbot,pork,0
turbot,pitted prunes,0
turbot,bone in pork belly,0
turbot,black pudding,0
turbot,pig trotters,0
turbot,rice porridge,0
turbot,cabbage,0
turbot,veal tenderloin,0
turbot,pig kidneys,0
turbot,lean pork,0
turbot,hoppy lager,0
turbot,beef chuck,0
turbot,beef brisket,0
turbot,mustard powder,0
turbot,beef silverside,0
turbot,beef,0
turbot,braising beef,0
turbot,beef sirloin,0
turbot,meat patties,0
turbot,sirloin steak,0
turbot,soup dumplings,0
turbot,beef and vegetable soup,0
turbot,lamb shoulder,0
turbot,pork shoulder,0
turbot,oxtail,0
turbot,light lager,0
turbot,taco,0
turbot,taco spice mix,0
turbot,veal breast,0
turbot,parsley butter,0
turbot,farfiol,0
turbot,lamb stock,0
turbot,smoked ham,0
turbot,sheep large intestines,0
turbot,sheep caul,0
turbot,lamb neck,0
turbot,hash,0
turbot,boiled meatballs,0
turbot,canned tomatoes,0
turbot,blood,0
turbot,lard,0
turbot,yeast,0
turbot,dried marjoram,0
turbot,rye flour,0
turbot,dark beer,0
turbot,bread baked with blood,0
turbot,tasty stock,0
turbot,fried salt pork,0
turbot,pig blood,0
turbot,cow blood,0
turbot,pork back fat,0
turbot,beer,0
turbot,pancakes,0
turbot,reindeer blood,0
turbot,reindeer stock,0
turbot,sweet reduced whey spread,0
turbot,apple compote,0
turbot,sheep stomach,0
turbot,sheep blood,0
turbot,pearl barley,0
turbot,liver,0
turbot,heart,0
turbot,kidneys,0
turbot,tongue,0
turbot,pig pluck,0
turbot,reindeer heart,0
turbot,falu sausage,0
turbot,sambal oelek,0
turbot,pork liver,0
turbot,fatty minced pork,0
turbot,mutton,0
turbot,pig head,0
turbot,veal shanks,0
turbot,whole eye of round,0
turbot,boiled ham,0
turbot,brined ham,0
turbot,string mustard,0
turbot,seal liver,0
turbot,rolled oats,0
turbot,wheat flour,0
turbot,salt pork fried,0
turbot,ymer,0
turbot,macaroni,0
turbot,semolina,0
turbot,rye flakes,0
turbot,flax,0
turbot,romme,0
turbot,dried apricots,0
turbot,dried yellow split peas,0
turbot,rye sourdough,0
turbot,raspberry cordial,0
turbot,orange,0
turbot,sweet small beer,0
turbot,caraway,0
turbot,wort,0
turbot,rye kernels,0
turbot,mixed rye and pine bark flour,0
turbot,ground rye malt,0
turbot,graham flour,0
turbot,rye dough,0
turbot,rice porridge filling,0
turbot,semolina porridge,0
turbot,salted butter,0
turbot,wholemeal flour,0
turbot,cold smoked salmon,0
turbot,dill fronds,0
turbot,lingon berries,0
turbot,shredded cabbage,0
turbot,sheets of puff pastry,0
turbot,meat pastry,0
turbot,baker ammonia,0
turbot,sweet wheat bun dough,0
turbot,pearl sugar,0
turbot,white icing,0
turbot,chocolate icing,0
turbot,almond paste,0
turbot,sugar pastry filling,0
turbot,saffron,0
turbot,vodka,0
turbot,cardamom,0
turbot,icing sugar,0
turbot,pastry,0
turbot,white icing,0
turbot,poppy,0
turbot,firm set raspberry jam,0
turbot,pistachios,0
turbot,bicarbonate of soda,0
turbot,almond biscuit batter,0
turbot,chocolate buttercream,0
turbot,dark chocolate,0
turbot,cloudberry cream,0
turbot,chopped almonds,0
turbot,cocoa powder,0
turbot,biscuit,0
turbot,peppermint oil,0
turbot,red food colouring,0
turbot,candied orange peel,0
turbot,fresh orange juice,0
turbot,flaked almonds,0
turbot,sugared lingonberries,0
turbot,acidic apples,0
turbot,vanilla pastry cream,0
turbot,gelatine,0
turbot,sockerkaka,0
turbot,raspberry jam,0
turbot,green marzipan,0
turbot,pink marzipan rose,0
turbot,strawberries,0
turbot,ground almonds,0
turbot,toasted almond flakes,0
turbot,thin pancakes,0
turbot,egg whites,0
turbot,coconut fat,0
turbot,buttercream,0
turbot,hazelnuts,0
turbot,instant flan,0
turbot,sugar syrup,0
turbot,liquid rennet,0
turbot,meringue,0
turbot,chocolate sauce,0
turbot,apple compote,0
turbot,pie crust,0
turbot,fudge caramel sauce,0
turbot,almond biscuits,0
turbot,saffron threads,0
turbot,citrus peel,0
turbot,full fat sour cream,0
turbot,blueberries,0
turbot,double cream,0
turbot,cloudberry jam,0
turbot,chicken meat and bones,0
turbot,meat and bones,0
turbot,roux,0
turbot,yellow mustard,0
turbot,brown mustard,0
turbot,leaf pork lard,0
turbot,beef suet,0
turbot,pickling cucumbers,0
turbot,dill flowers,0
turbot,pickling liquor,0
turbot,cassia cinnamon stick,0
turbot,purslane stalks,0
turbot,pork dripping,0
turbot,brown cheese,0
turbot,currants,0
turbot,soft fruit,0
turbot,cordial,0
turbot,dried rosehips sugar,0
turbot,apple juice,0
turbot,rhubarb,0
turbot,gooseberries sugar,0
turbot,sago pearls,0
turbot,dark rum,0
turbot,aquavit,0
turbot,table liquor,0
turbot,vermouth,0
turbot,gin,0
turbot,neutral grain spirit,0
turbot,porter beer,0
turbot,battavia arrack,0
turbot,black tea,0
turbot,vanilla bean,0
turbot,sprout,0
halibut fillet,firm waxy potatoes,0
halibut fillet,red bell peppers,0
halibut fillet,aged fish,0
halibut fillet,cod tongues and cheeks,0
halibut fillet,cod roe,0
halibut fillet,raisins,0
halibut fillet,baking powder,0
halibut fillet,fish stock,0
halibut fillet,celeriac,0
halibut fillet,fish balls,0
halibut fillet,smoked bacon,0
halibut fillet,floury potatoes,0
halibut fillet,sweet fried onions,0
halibut fillet,fermented skate,0
halibut fillet,boiled shrimp,0
halibut fillet,iceberg lettuce,0
halibut fillet,cooked lobster,0
halibut fillet,cooked mussels,0
halibut fillet,cooked shrimp,0
halibut fillet,pilot whale,0
halibut fillet,pilot whale blubber,0
halibut fillet,pilot whale meat,0
halibut fillet,pearl barley,0
halibut fillet,mixed seal meat,0
halibut fillet,blubber,0
halibut fillet,seal intestines,0
halibut fillet,seal blubber,0
halibut fillet,crowberries,0
halibut fillet,roseroot leaves,0
halibut fillet,chicken,0
halibut fillet,chicken stock,0
halibut fillet,chicken liver,0
halibut fillet,chicken heart,0
halibut fillet,salad dressing,0
halibut fillet,salted peanuts,0
halibut fillet,creme fraiche,0
halibut fillet,hen,0
halibut fillet,prunes,0
halibut fillet,roux,0
halibut fillet,duck,0
halibut fillet,goose,0
halibut fillet,grouse,0
halibut fillet,carcasses,0
halibut fillet,woodcock,0
halibut fillet,puffins,0
halibut fillet,fulmar chicks,0
halibut fillet,fulmar eggs,0
halibut fillet,girolles,0
halibut fillet,frozen reindeer,0
halibut fillet,moose shoulder,0
halibut fillet,juniper berries,0
halibut fillet,pork tenderloin,0
halibut fillet,pork,0
halibut fillet,pitted prunes,0
halibut fillet,bone in pork belly,0
halibut fillet,black pudding,0
halibut fillet,pig trotters,0
halibut fillet,rice porridge,0
halibut fillet,cabbage,0
halibut fillet,veal tenderloin,0
halibut fillet,pig kidneys,0
halibut fillet,lean pork,0
halibut fillet,hoppy lager,0
halibut fillet,beef chuck,0
halibut fillet,beef brisket,0
halibut fillet,mustard powder,0
halibut fillet,beef silverside,0
halibut fillet,beef,0
halibut fillet,braising beef,0
halibut fillet,beef sirloin,0
halibut fillet,meat patties,0
halibut fillet,sirloin steak,0
halibut fillet,soup dumplings,0
halibut fillet,beef and vegetable soup,0
halibut fillet,lamb shoulder,0
halibut fillet,pork shoulder,0
halibut fillet,oxtail,0
halibut fillet,light lager,0
halibut fillet,taco,0
halibut fillet,taco spice mix,0
halibut fillet,veal breast,0
halibut fillet,parsley butter,0
halibut fillet,farfiol,0
halibut fillet,lamb stock,0
halibut fillet,smoked ham,0
halibut fillet,sheep large intestines,0
halibut fillet,sheep caul,0
halibut fillet,lamb neck,0
halibut fillet,hash,0
halibut fillet,boiled meatballs,0
halibut fillet,canned tomatoes,0
halibut fillet,blood,0
halibut fillet,lard,0
halibut fillet,yeast,0
halibut fillet,dried marjoram,0
halibut fillet,bread flour,0
halibut fillet,rye flour,0
halibut fillet,dark beer,0
halibut fillet,bread baked with blood,0
halibut fillet,tasty stock,0
halibut fillet,fried salt pork,0
halibut fillet,pig blood,0
halibut fillet,cow blood,0
halibut fillet,pork back fat,0
halibut fillet,beer,0
halibut fillet,pancakes,0
halibut fillet,reindeer blood,0
halibut fillet,reindeer stock,0
halibut fillet,sweet reduced whey spread,0
halibut fillet,apple compote,0
halibut fillet,sheep stomach,0
halibut fillet,sheep blood,0
halibut fillet,pearl barley,0
halibut fillet,liver,0
halibut fillet,heart,0
halibut fillet,kidneys,0
halibut fillet,tongue,0
halibut fillet,pig pluck,0
halibut fillet,reindeer heart,0
halibut fillet,falu sausage,0
halibut fillet,sambal oelek,0
halibut fillet,pork liver,0
halibut fillet,fatty minced pork,0
halibut fillet,mutton,0
halibut fillet,pig head,0
halibut fillet,veal shanks,0
halibut fillet,whole eye of round,0
halibut fillet,boiled ham,0
halibut fillet,brined ham,0
halibut fillet,string mustard,0
halibut fillet,seal liver,0
halibut fillet,rolled oats,0
halibut fillet,wheat flour,0
halibut fillet,salt pork fried,0
halibut fillet,ymer,0
halibut fillet,macaroni,0
halibut fillet,semolina,0
halibut fillet,rye flakes,0
halibut fillet,flax,0
halibut fillet,romme,0
halibut fillet,dried apricots,0
halibut fillet,dried yellow split peas,0
halibut fillet,rye sourdough,0
halibut fillet,raspberry cordial,0
halibut fillet,orange,0
halibut fillet,sweet small beer,0
halibut fillet,caraway,0
halibut fillet,wort,0
halibut fillet,rye kernels,0
halibut fillet,mixed rye and pine bark flour,0
halibut fillet,ground rye malt,0
halibut fillet,graham flour,0
halibut fillet,rye dough,0
halibut fillet,rice porridge filling,0
halibut fillet,semolina porridge,0
halibut fillet,wholemeal flour,0
halibut fillet,white bread,0
halibut fillet,cold smoked salmon,0
halibut fillet,dill fronds,0
halibut fillet,lingon berries,0
halibut fillet,shredded cabbage,0
halibut fillet,sheets of puff pastry,0
halibut fillet,meat pastry,0
halibut fillet,baker ammonia,0
halibut fillet,sweet wheat bun dough,0
halibut fillet,pearl sugar,0
halibut fillet,white icing,0
halibut fillet,chocolate icing,0
halibut fillet,almond paste,0
halibut fillet,sugar pastry filling,0
halibut fillet,saffron,0
halibut fillet,vodka,0
halibut fillet,cardamom,0
halibut fillet,icing sugar,0
halibut fillet,pastry,0
halibut fillet,white icing,0
halibut fillet,poppy,0
halibut fillet,firm set raspberry jam,0
halibut fillet,pistachios,0
halibut fillet,bicarbonate of soda,0
halibut fillet,almond biscuit batter,0
halibut fillet,chocolate buttercream,0
halibut fillet,dark chocolate,0
halibut fillet,cloudberry cream,0
halibut fillet,chopped almonds,0
halibut fillet,cocoa powder,0
halibut fillet,biscuit,0
halibut fillet,peppermint oil,0
halibut fillet,red food colouring,0
halibut fillet,candied orange peel,0
halibut fillet,fresh orange juice,0
halibut fillet,flaked almonds,0
halibut fillet,sugared lingonberries,0
halibut fillet,acidic apples,0
halibut fillet,vanilla pastry cream,0
halibut fillet,gelatine,0
halibut fillet,sockerkaka,0
halibut fillet,raspberry jam,0
halibut fillet,green marzipan,0
halibut fillet,pink marzipan rose,0
halibut fillet,strawberries,0
halibut fillet,ground almonds,0
halibut fillet,toasted almond flakes,0
halibut fillet,thin pancakes,0
halibut fillet,egg whites,0
halibut fillet,coconut fat,0
halibut fillet,buttercream,0
halibut fillet,hazelnuts,0
halibut fillet,instant flan,0
halibut fillet,sugar syrup,0
halibut fillet,liquid rennet,0
halibut fillet,meringue,0
halibut fillet,chocolate sauce,0
halibut fillet,apple compote,0
halibut fillet,pie crust,0
halibut fillet,fudge caramel sauce,0
halibut fillet,almond biscuits,0
halibut fillet,saffron threads,0
halibut fillet,citrus peel,0
halibut fillet,full fat sour cream,0
halibut fillet,blueberries,0
halibut fillet,double cream,0
halibut fillet,cloudberry jam,0
halibut fillet,fish bones,0
halibut fillet,chicken meat and bones,0
halibut fillet,meat and bones,0
halibut fillet,roux,0
halibut fillet,yellow mustard,0
halibut fillet,brown mustard,0
halibut fillet,leaf pork lard,0
halibut fillet,beef suet,0
halibut fillet,pickling cucumbers,0
halibut fillet,dill flowers,0
halibut fillet,pickling liquor,0
halibut fillet,cassia cinnamon stick,0
halibut fillet,purslane stalks,0
halibut fillet,pork dripping,0
halibut fillet,brown cheese,0
halibut fillet,currants,0
halibut fillet,soft fruit,0
halibut fillet,cordial,0
halibut fillet,dried rosehips sugar,0
halibut fillet,apple juice,0
halibut fillet,rhubarb,0
halibut fillet,gooseberries sugar,0
halibut fillet,sago pearls,0
halibut fillet,dark rum,0
halibut fillet,aquavit,0
halibut fillet,table liquor,0
halibut fillet,vermouth,0
halibut fillet,gin,0
halibut fillet,neutral grain spirit,0
halibut fillet,porter beer,0
halibut fillet,battavia arrack,0
halibut fillet,black tea,0
halibut fillet,vanilla bean,0
halibut fillet,sprout,0
lutefisk,firm waxy potatoes,0
lutefisk,red bell peppers,0
lutefisk,aged fish,0
lutefisk,cod tongues and cheeks,0
lutefisk,cod roe,0
lutefisk,raisins,0
lutefisk,baking powder,0
lutefisk,fish stock,0
lutefisk,celeriac,0
lutefisk,fish balls,0
lutefisk,smoked bacon,0
lutefisk,floury potatoes,0
lutefisk,cooked fish,0
lutefisk,sweet fried onions,0
lutefisk,fermented skate,0
lutefisk,boiled shrimp,0
lutefisk,iceberg lettuce,0
lutefisk,cooked lobster,0
lutefisk,cooked mussels,0
lutefisk,cooked shrimp,0
lutefisk,pilot whale,0
lutefisk,pilot whale blubber,0
lutefisk,pilot whale meat,0
lutefisk,pearl barley,0
lutefisk,mixed seal meat,0
lutefisk,blubber,0
lutefisk,seal intestines,0
lutefisk,seal blubber,0
lutefisk,crowberries,0
lutefisk,roseroot leaves,0
lutefisk,chicken,0
lutefisk,chicken stock,0
lutefisk,chicken liver,0
lutefisk,chicken heart,0
lutefisk,salad dressing,0
lutefisk,salted peanuts,0
lutefisk,creme fraiche,0
lutefisk,hen,0
lutefisk,prunes,0
lutefisk,roux,0
lutefisk,duck,0
lutefisk,goose,0
lutefisk,grouse,0
lutefisk,carcasses,0
lutefisk,woodcock,0
lutefisk,puffins,0
lutefisk,fulmar chicks,0
lutefisk,fulmar eggs,0
lutefisk,girolles,0
lutefisk,frozen reindeer,0
lutefisk,moose shoulder,0
lutefisk,juniper berries,0
lutefisk,pork tenderloin,0
lutefisk,pork,0
lutefisk,pitted prunes,0
lutefisk,bone in pork belly,0
lutefisk,black pudding,0
lutefisk,pig trotters,0
lutefisk,rice porridge,0
lutefisk,cabbage,0
lutefisk,veal tenderloin,0
lutefisk,pig kidneys,0
lutefisk,lean pork,0
lutefisk,hoppy lager,0
lutefisk,beef chuck,0
lutefisk,beef brisket,0
lutefisk,mustard powder,0
lutefisk,beef silverside,0
lutefisk,beef,0
lutefisk,braising beef,0
lutefisk,beef sirloin,0
lutefisk,meat patties,0
lutefisk,sirloin steak,0
lutefisk,soup dumplings,0
lutefisk,beef and vegetable soup,0
lutefisk,lamb shoulder,0
lutefisk,pork shoulder,0
lutefisk,oxtail,0
lutefisk,light lager,0
lutefisk,taco,0
lutefisk,taco spice mix,0
lutefisk,veal breast,0
lutefisk,parsley butter,0
lutefisk,farfiol,0
lutefisk,lamb stock,0
lutefisk,smoked ham,0
lutefisk,sheep large intestines,0
lutefisk,sheep caul,0
lutefisk,lamb neck,0
lutefisk,hash,0
lutefisk,boiled meatballs,0
lutefisk,canned tomatoes,0
lutefisk,blood,0
lutefisk,lard,0
lutefisk,yeast,0
lutefisk,dried marjoram,0
lutefisk,bread flour,0
lutefisk,rye flour,0
lutefisk,dark beer,0
lutefisk,bread baked with blood,0
lutefisk,tasty stock,0
lutefisk,fried salt pork,0
lutefisk,pig blood,0
lutefisk,cow blood,0
lutefisk,pork back fat,0
lutefisk,beer,0
lutefisk,pancakes,0
lutefisk,reindeer blood,0
lutefisk,reindeer stock,0
lutefisk,sweet reduced whey spread,0
lutefisk,apple compote,0
lutefisk,sheep stomach,0
lutefisk,sheep blood,0
lutefisk,pearl barley,0
lutefisk,liver,0
lutefisk,heart,0
lutefisk,kidneys,0
lutefisk,tongue,0
lutefisk,pig pluck,0
lutefisk,reindeer heart,0
lutefisk,falu sausage,0
lutefisk,sambal oelek,0
lutefisk,pork liver,0
lutefisk,fatty minced pork,0
lutefisk,mutton,0
lutefisk,pig head,0
lutefisk,veal shanks,0
lutefisk,whole eye of round,0
lutefisk,boiled ham,0
lutefisk,brined ham,0
lutefisk,string mustard,0
lutefisk,seal liver,0
lutefisk,rolled oats,0
lutefisk,wheat flour,0
lutefisk,salt pork fried,0
lutefisk,ymer,0
lutefisk,macaroni,0
lutefisk,semolina,0
lutefisk,rye flakes,0
lutefisk,flax,0
lutefisk,romme,0
lutefisk,dried apricots,0
lutefisk,dried yellow split peas,0
lutefisk,rye sourdough,0
lutefisk,raspberry cordial,0
lutefisk,orange,0
lutefisk,sweet small beer,0
lutefisk,caraway,0
lutefisk,wort,0
lutefisk,rye kernels,0
lutefisk,mixed rye and pine bark flour,0
lutefisk,ground rye malt,0
lutefisk,graham flour,0
lutefisk,rye dough,0
lutefisk,rice porridge filling,0
lutefisk,semolina porridge,0
lutefisk,wholemeal flour,0
lutefisk,white bread,0
lutefisk,cold smoked salmon,0
lutefisk,dill fronds,0
lutefisk,lingon berries,0
lutefisk,shredded cabbage,0
lutefisk,sheets of puff pastry,0
lutefisk,meat pastry,0
lutefisk,baker ammonia,0
lutefisk,sweet wheat bun dough,0
lutefisk,pearl sugar,0
lutefisk,white icing,0
lutefisk,chocolate icing,0
lutefisk,almond paste,0
lutefisk,sugar pastry filling,0
lutefisk,saffron,0
lutefisk,vodka,0
lutefisk,cardamom,0
lutefisk,icing sugar,0
lutefisk,pastry,0
lutefisk,white icing,0
lutefisk,poppy,0
lutefisk,firm set raspberry jam,0
lutefisk,pistachios,0
lutefisk,bicarbonate of soda,0
lutefisk,almond biscuit batter,0
lutefisk,chocolate buttercream,0
lutefisk,dark chocolate,0
lutefisk,cloudberry cream,0
lutefisk,chopped almonds,0
lutefisk,cocoa powder,0
lutefisk,biscuit,0
lutefisk,peppermint oil,0
lutefisk,red food colouring,0
lutefisk,candied orange peel,0
lutefisk,fresh orange juice,0
lutefisk,flaked almonds,0
lutefisk,sugared lingonberries,0
lutefisk,acidic apples,0
lutefisk,vanilla pastry cream,0
lutefisk,gelatine,0
lutefisk,sockerkaka,0
lutefisk,raspberry jam,0
lutefisk,green marzipan,0
lutefisk,pink marzipan rose,0
lutefisk,strawberries,0
lutefisk,ground almonds,0
lutefisk,toasted almond flakes,0
lutefisk,thin pancakes,0
lutefisk,egg whites,0
lutefisk,coconut fat,0
lutefisk,buttercream,0
lutefisk,hazelnuts,0
lutefisk,instant flan,0
lutefisk,sugar syrup,0
lutefisk,liquid rennet,0
lutefisk,meringue,0
lutefisk,chocolate sauce,0
lutefisk,apple compote,0
lutefisk,pie crust,0
lutefisk,fudge caramel sauce,0
lutefisk,almond biscuits,0
lutefisk,saffron threads,0
lutefisk,citrus peel,0
lutefisk,full fat sour cream,0
lutefisk,blueberries,0
lutefisk,double cream,0
lutefisk,cloudberry jam,0
lutefisk,fish bones,0
lutefisk,chicken meat and bones,0
lutefisk,meat and bones,0
lutefisk,roux,0
lutefisk,yellow mustard,0
lutefisk,brown mustard,0
lutefisk,leaf pork lard,0
lutefisk,beef suet,0
lutefisk,pickling cucumbers,0
lutefisk,dill flowers,0
lutefisk,pickling liquor,0
lutefisk,cassia cinnamon stick,0
lutefisk,purslane stalks,0
lutefisk,pork dripping,0
lutefisk,brown cheese,0
lutefisk,currants,0
lutefisk,soft fruit,0
lutefisk,cordial,0
lutefisk,dried rosehips sugar,0
lutefisk,apple juice,0
lutefisk,rhubarb,0
lutefisk,gooseberries sugar,0
lutefisk,sago pearls,0
lutefisk,dark rum,0
lutefisk,aquavit,0
lutefisk,table liquor,0
lutefisk,vermouth,0
lutefisk,gin,0
lutefisk,neutral grain spirit,0
lutefisk,porter beer,0
lutefisk,battavia arrack,0
lutefisk,black tea,0
lutefisk,vanilla bean,0
lutefisk,sprout,0
salted cod,aged fish,0
salted cod,cod tongues and cheeks,0
salted cod,celeriac,0
salted cod,smoked bacon,0
salted cod,sweet fried onions,0
salted cod,fermented skate,0
salted cod,boiled shrimp,0
salted cod,iceberg lettuce,0
salted cod,cooked lobster,0
salted cod,cooked mussels,0
salted cod,cooked shrimp,0
salted cod,pilot whale,0
salted cod,pilot whale blubber,0
salted cod,pilot whale meat,0
salted cod,pearl barley,0
salted cod,mixed seal meat,0
salted cod,blubber,0
salted cod,seal intestines,0
salted cod,seal blubber,0
salted cod,crowberries,0
salted cod,roseroot leaves,0
salted cod,chicken,0
salted cod,chicken stock,0
salted cod,chicken liver,0
salted cod,chicken heart,0
salted cod,salad dressing,0
salted cod,salted peanuts,0
salted cod,creme fraiche,0
salted cod,hen,0
salted cod,prunes,0
salted cod,duck,0
salted cod,goose,0
salted cod,grouse,0
salted cod,carcasses,0
salted cod,woodcock,0
salted cod,puffins,0
salted cod,fulmar chicks,0
salted cod,fulmar eggs,0
salted cod,girolles,0
salted cod,frozen reindeer,0
salted cod,moose shoulder,0
salted cod,juniper berries,0
salted cod,pork tenderloin,0
salted cod,pork,0
salted cod,pitted prunes,0
salted cod,bone in pork belly,0
salted cod,black pudding,0
salted cod,pig trotters,0
salted cod,rice porridge,0
salted cod,cabbage,0
salted cod,veal tenderloin,0
salted cod,pig kidneys,0
salted cod,lean pork,0
salted cod,hoppy lager,0
salted cod,beef chuck,0
salted cod,beef brisket,0
salted cod,beef silverside,0
salted cod,beef,0
salted cod,braising beef,0
salted cod,beef sirloin,0
salted cod,meat patties,0
salted cod,sirloin steak,0
salted cod,soup dumplings,0
salted cod,beef and vegetable soup,0
salted cod,lamb shoulder,0
salted cod,pork shoulder,0
salted cod,oxtail,0
salted cod,light lager,0
salted cod,taco,0
salted cod,taco spice mix,0
salted cod,veal breast,0
salted cod,parsley butter,0
salted cod,farfiol,0
salted cod,lamb stock,0
salted cod,smoked ham,0
salted cod,sheep large intestines,0
salted cod,sheep caul,0
salted cod,lamb neck,0
salted cod,hash,0
salted cod,boiled meatballs,0
salted cod,canned tomatoes,0
salted cod,blood,0
salted cod,lard,0
salted cod,yeast,0
salted cod,dried marjoram,0
salted cod,bread flour,0
salted cod,rye flour,0
salted cod,dark beer,0
salted cod,bread baked with blood,0
salted cod,tasty stock,0
salted cod,fried salt pork,0
salted cod,pig blood,0
salted cod,cow blood,0
salted cod,pork back fat,0
salted cod,beer,0
salted cod,pancakes,0
salted cod,reindeer blood,0
salted cod,reindeer stock,0
salted cod,sweet reduced whey spread,0
salted cod,apple compote,0
salted cod,sheep stomach,0
salted cod,sheep blood,0
salted cod,pearl barley,0
salted cod,heart,0
salted cod,kidneys,0
salted cod,tongue,0
salted cod,pig pluck,0
salted cod,reindeer heart,0
salted cod,falu sausage,0
salted cod,sambal oelek,0
salted cod,pork liver,0
salted cod,fatty minced pork,0
salted cod,mutton,0
salted cod,pig head,0
salted cod,veal shanks,0
salted cod,whole eye of round,0
salted cod,boiled ham,0
salted cod,brined ham,0
salted cod,string mustard,0
salted cod,seal liver,0
salted cod,rolled oats,0
salted cod,wheat flour,0
salted cod,salt pork fried,0
salted cod,ymer,0
salted cod,macaroni,0
salted cod,semolina,0
salted cod,rye flakes,0
salted cod,flax,0
salted cod,romme,0
salted cod,dried apricots,0
salted cod,dried yellow split peas,0
salted cod,raspberry cordial,0
salted cod,sweet small beer,0
salted cod,caraway,0
salted cod,wort,0
salted cod,rye kernels,0
salted cod,mixed rye and pine bark flour,0
salted cod,ground rye malt,0
salted cod,graham flour,0
salted cod,rye dough,0
salted cod,rice porridge filling,0
salted cod,semolina porridge,0
salted cod,wholemeal flour,0
salted cod,white bread,0
salted cod,cold smoked salmon,0
salted cod,dill fronds,0
salted cod,lingon berries,0
salted cod,shredded cabbage,0
