Ingredient1,Ingredient2,Rank
plain flour,brown sugar,8
plain flour,raisins,8
plain flour,yeast,8
plain flour,cardamom,8
chicken stock,chicken,8
chicken stock,chicken stock,8
peppercorns,lamb,8
peppercorns,leek,8
peppercorns,dill,8
peppercorns,garlic,8
peppercorns,pork shoulder,8
peppercorns,mutton,8
bay leaf,flour,8
bay leaf,meat stock,8
brown sugar,vinegar,8
lemon,dill,8
lemon,horseradish,8
lemon,pike,8
vinegar,black pepper,8
flour,mustard,8
flour,dill,8
flour,whole fish,8
flour,roux,8
flour,parsley butter,8
flour,fried salt pork,8
flour,beer,8
flour,pancakes,8
flour,salt pork fried,8
flour,ground almonds,8
flour,roux,8
cheese,rye flour,8
meat stock,potatoes,8
onion,pork belly,8
onion,pork belly,8
onion,coarse salt,8
onion,cod,8
onion,parsley butter,8
onion,liver,8
onion,salted butter,8
bay leaves,ginger,8
parsley,black pepper,8
parsley,dill,8
parsley,thyme,8
parsley,mustard sauce,8
parsley,white vinegar,8
mustard,cloves,8
mustard,dill,8
mustard,thyme,8
mustard,yellow mustard,8
swede,potatoes,8
potatoes,white fish,8
potatoes,cod,8
potatoes,cooked fish,8
breadcrumbs,pork,8
breadcrumbs,beef,8
bacon,pork,8
garlic,thyme,8
whole fish,white vinegar,8
salmon,salmon fillet,8
white fish,white bread,8
raisins,cardamom,8
chicken,chicken stock,8
prunes,pitted prunes,8
pork,liver,8
pork,pork liver,8
pork,wheat flour,8
beef,pork shoulder,8
beef,fried salt pork,8
beef,salt pork fried,8
yeast,cardamom,8
liver,pork liver,8
wheat flour,baker ammonia,8
icing sugar,pastry,8
egg,ginger,7
egg,mustard sauce,7
egg,pearl sugar,7
cream,cream liquid rennet,7
cream,cinnamon stick,7
cream,sugar juice,7
cream,zest,7
cream,brown sugar,7
cream,mushroom soy sauce,7
cream,ginger,7
cream,whole fish,7
cream,mustard sauce,7
cream,cod,7
cream,icing sugar,7
cream,liquid rennet,7
cream,cassia cinnamon stick,7
hard cheese,onion,7
hard cheese,potatoes,7
butter,pork stock,7
butter,broccoli,7
butter,red onion,7
butter,rice porridge,7
butter,fried salt pork,7
butter,salt pork fried,7
butter,chocolate icing,7
milk,cream liquid rennet,7
milk,vegetables,7
milk,cloves,7
milk,cauliflower,7
milk,dill,7
milk,bacon,7
milk,pancakes,7
milk,mutton,7
milk,rolled oats,7
milk,white bread,7
sugar,broth,7
sugar,nutmeg,7
sugar,lamb,7
sugar,bay leaves,7
sugar,apples,7
sugar,sour cream,7
sugar,pearl barley,7
sugar,pearl barley,7
sugar,salted butter,7
sugar,white icing,7
sugar,almond paste,7
sugar,white icing,7
Attika vinegar,broth,7
Attika vinegar,lemon,7
Attika vinegar,bay leaves,7
Attika vinegar,thyme,7
cream liquid rennet,liquid rennet,7
ground cinnamon,cinnamon stick,7
ground cinnamon,baking powder,7
golden syrup,plain flour,7
golden syrup,cloves,7
golden syrup,pork,7
potato starch,onion,7
potato starch,minced beef,7
egg yolks,onion,7
sugar juice,vinegar,7
vanilla sugar,plain flour,7
dry flatbread,flour,7
vegetables,cauliflower,7
vegetables,ginger,7
vegetables,white fish,7
vegetables,chicken,7
vegetables,lamb shoulder,7
vegetables,pork shoulder,7
vegetables,meat and bones,7
broth,cabbage,7
broth,mustard,7
broth,mushroom soy sauce,7
broth,garlic,7
broth,fish stock,7
broth,roux,7
broth,cabbage,7
broth,roux,7
nutmeg,potatoes,7
plain flour,cheese,7
plain flour,lamb,7
plain flour,bacon,7
plain flour,white vinegar,7
plain flour,cod,7
plain flour,rye flour,7
pork stock,beef,7
peppercorns,parsley,7
peppercorns,pickling liquor,7
peppercorns,potatoes,7
peppercorns,celery,7
peppercorns,pickling liquor,7
bay leaf,bay leaves,7
bay leaf,leek,7
bay leaf,celery,7
bay leaf,white fish,7
bay leaf,beef,7
brown sugar,cassia cinnamon,7
lemon,parsley butter,7
lemon,white bread,7
vinegar,horseradish,7
flour,cassia cinnamon,7
flour,sour cream,7
flour,garlic,7
flour,pearl barley,7
flour,pearl barley,7
cheese,white fish,7
lamb,parsley,7
lamb,black pepper,7
meat stock,minced beef,7
meat stock,thyme,7
onion,chives,7
onion,dill,7
onion,chicken,7
onion,lamb shoulder,7
onion,fried salt pork,7
onion,salt pork fried,7
onion,white bread,7
bay leaves,black pepper,7
bay leaves,white vinegar,7
bay leaves,pork,7
dried marjoram,pork,7
parsley,beef,7
black pepper,allspice berries,7
allspice berries,white fish,7
minced beef,breadcrumbs,7
mustard,white fish,7
mustard,parsley butter,7
cloves,cassia cinnamon,7
cloves,thyme,7
cloves,wheat flour,7
chives,potatoes,7
potatoes,bacon,7
potatoes,thyme,7
potatoes,pork shoulder,7
potatoes,parsley butter,7
potatoes,rye flour,7
potatoes,wheat flour,7
potatoes,salted butter,7
ginger,wheat flour,7
breadcrumbs,white bread,7
dill,salmon,7
dill,cooked fish,7
garlic,beef,7
thyme,white vinegar,7
whole fish,pike,7
coarse rye flour,bread flour,7
salmon,cooked fish,7
coarse salt,white vinegar,7
coarse salt,beef,7
mustard sauce,white vinegar,7
white vinegar,cooked fish,7
raisins,prunes,7
baking powder,baker ammonia,7
baking powder,pastry,7
floury potatoes,pork,7
pearl barley,pearl sugar,7
pork,dried marjoram,7
blood,rye flour,7
blood,pig blood,7
pancakes,wheat flour,7
pearl barley,pearl sugar,7
wheat flour,pearl sugar,7
wheat flour,ground almonds,7
white icing,icing sugar,7
icing sugar,white icing,7
egg,peppercorns,6
egg,sour cream,6
egg,coarse salt,6
egg,cooked fish,6
egg,parsley butter,6
egg,chocolate icing,6
cream,chicken stock,6
cream,leek,6
cream,cauliflower,6
cream,chicken stock,6
cream,rye flour,6
cream,tasty stock,6
cream,liver,6
cream,soft fruit,6
hard cheese,nutmeg,6
butter,caraway,6
butter,chicken stock,6
butter,fennel,6
butter,dried marjoram,6
butter,lard,6
butter,vegetable stock,6
butter,short grain rice,6
butter,beetroot,6
butter,pork belly,6
butter,pork belly,6
butter,chicken stock,6
butter,lamb shoulder,6
butter,lard,6
butter,dried marjoram,6
butter,caraway,6
butter,cocoa powder,6
caraway,milk,6
milk,egg yolks,6
milk,sugar juice,6
milk,vinegar,6
milk,meat stock,6
milk,chives,6
milk,sour cream,6
milk,pearl barley,6
milk,pearl barley,6
milk,caraway,6
milk,baker ammonia,6
milk,chopped almonds,6
sugar,rice porridge,6
sugar,blood,6
sugar,flaked almonds,6
sugar,liquid rennet,6
sugar,blueberries,6
sugar,brown mustard,6
sugar,soft fruit,6
sugar,vanilla bean,6
Attika vinegar,fennel,6
Attika vinegar,flour,6
Attika vinegar,allspice berries,6
Attika vinegar,mustard,6
Attika vinegar,dill,6
ground cinnamon,cloves,6
cinnamon stick,cardamom,6
golden syrup,fennel,6
golden syrup,onion,6
golden syrup,raisins,6
potato starch,peppercorns,6
potato starch,baking powder,6
egg yolks,broth,6
sugar juice,flour,6
sugar juice,baking powder,6
sugar juice,wheat flour,6
zest,plain flour,6
zest,breadcrumbs,6
vanilla sugar,icing sugar,6
vanilla sugar,pastry,6
vanilla sugar,vanilla bean,6
vegetables,cheese,6
vegetables,sprouts,6
vegetables,swede,6
vegetables,beetroot,6
vegetables,dill,6
vegetables,yellow split peas,6
vegetables,fish stock,6
firm potatoes,pork,6
carrots,nutmeg,6
carrots,cabbage,6
carrots,meat stock,6
carrots,swede,6
carrots,dill,6
carrots,fresh peas,6
carrots,cabbage,6
oil,mustard sauce,6
oil,baking powder,6
broth,chicken stock,6
broth,vegetable stock,6
broth,coarse salt,6
broth,celeriac,6
broth,pearl barley,6
broth,chicken,6
broth,chicken stock,6
broth,lamb shoulder,6
broth,pearl barley,6
broth,meat and bones,6
nutmeg,peppercorns,6
nutmeg,lamb,6
plain flour,parsley,6
plain flour,minced beef,6
plain flour,cloves,6
plain flour,ginger,6
plain flour,celery,6
plain flour,mutton,6
plain flour,rye dough,6
kale,kale leaves,6
peppercorns,whole fish,6
bay leaf,parsley,6
bay leaf,garlic,6
bay leaf,whole fish,6
bay leaf,cooked fish,6
bay leaf,pork,6
fennel,vinegar,6
fennel,flour,6
fennel,cloves,6
fennel,yeast,6
fennel,orange,6
brown sugar,mustard,6
brown sugar,cloves,6
brown sugar,white vinegar,6
brown sugar,brown mustard,6
cabbage,flour,6
cabbage,summer cabbage,6
cabbage,onion,6
cabbage,black pepper,6
cabbage,winter cabbage,6
cabbage,minced beef,6
cabbage,beef,6
cabbage,shredded cabbage,6
lemon,black pepper,6
lemon,cassia cinnamon,6
lemon,fish bones,6
vinegar,cheese,6
vinegar,pickling liquor,6
vinegar,brown mustard,6
vinegar,pickling liquor,6
flour,bay leaves,6
flour,celery,6
flour,salmon,6
flour,cabbage,6
flour,pig blood,6
flour,rolled oats,6
flour,orange,6
flour,chopped almonds,6
cheese,parsley,6
cheese,dill,6
cheese,mustard sauce,6
cheese,beef,6
summer cabbage,cabbage,6
lamb,bay leaves,6
lamb,thyme,6
meat stock,parsley,6
meat stock,black pepper,6
meat stock,mushroom soy sauce,6
meat stock,parsley butter,6
onion,vegetable stock,6
onion,ginger,6
onion,bacon,6
onion,horseradish,6
onion,mustard sauce,6
onion,cabbage,6
onion,pork shoulder,6
onion,wheat flour,6
onion,brown cheese,6
bay leaves,potatoes,6
bay leaves,parsley butter,6
parsley,red onion,6
parsley,horseradish,6
parsley,cooked fish,6
parsley,mutton,6
black pepper,ginger,6
black pepper,cabbage,6
allspice berries,potatoes,6
allspice berries,ginger,6
allspice berries,pork shoulder,6
lard,pork,6
winter cabbage,cabbage,6
leek,celeriac,6
minced beef,ginger,6
minced beef,cabbage,6
mustard,pickling liquor,6
mustard,pork shoulder,6
mustard,pickling liquor,6
cloves,celery,6
cassia cinnamon,raisins,6
pickling liquor,whole fish,6
potatoes,garlic,6
potatoes,celery,6
potatoes,lean pork,6
potatoes,dill fronds,6
ginger,coarse salt,6
ginger,mutton,6
ginger,cardamom,6
celery,pork,6
celery,meat and bones,6
horseradish,whole fish,6
thyme,celeriac,6
whole fish,pickling liquor,6
coarse rye flour,rye dough,6
coarse salt,white fish,6
coarse salt,bread flour,6
mustard sauce,beef,6
salmon fillet,white fish,6
white fish,salted butter,6
raisins,baking powder,6
raisins,yeast,6
raisins,wheat flour,6
baking powder,cocoa powder,6
floury potatoes,wheat flour,6
cooked fish,fish bones,6
pearl barley,fried salt pork,6
pearl barley,rolled oats,6
pearl barley,salt pork fried,6
pork,meat patties,6
pork,blood,6
pork,lard,6
pork,fatty minced pork,6
cabbage,beef,6
cabbage,shredded cabbage,6
lean pork,beef,6
beef chuck,beef,6
beef,braising beef,6
beef,meat patties,6
beef,lamb shoulder,6
beef,parsley butter,6
beef,pork back fat,6
beef,liver,6
beef,white bread,6
dark beer,beer,6
fried salt pork,pork back fat,6
fried salt pork,pearl barley,6
pork back fat,salt pork fried,6
pearl barley,rolled oats,6
pearl barley,salt pork fried,6
wheat flour,sugar syrup,6
wheat flour,brown cheese,6
cardamom,icing sugar,6
egg,ground cinnamon,5
egg,golden syrup,5
egg,potato starch,5
egg,sugar juice,5
egg,meat stock,5
egg,whole fish,5
egg,raisins,5
egg,cod,5
egg,bread flour,5
egg,rye flour,5
