Ing1,Ing2,Ing3,Ing4,Rank
flour,baking powder,wheat flour,egg,14
cream,butter,onion,broth,14
butter,baking powder,wheat flour,egg,14
sugar,plain flour,flour,baking powder,14
egg,sugar,flour,baking powder,14
egg,sugar,flour,cardamom,14
egg,flour,wheat flour,baking powder,14
butter,milk,plain flour,sugar,14
egg,butter,wheat flour,baking powder,14
butter,sugar,vanilla sugar,baking powder,14
sugar,vanilla sugar,flour,milk,14
butter,broth,onion,cream,14
butter,flour,bread flour,milk,14
sugar,flour,cardamom,egg,14
butter,sugar,plain flour,milk,14
cream,butter,broth,onion,14
butter,sugar,brown sugar,flour,14
butter,flour,cardamom,milk,14
milk,sugar,plain flour,butter,14
sugar,zest,lemon,flour,14
butter,broth,flour,plain flour,14
milk,flour,bread flour,butter,14
butter,vanilla sugar,flour,baking powder,14
sugar,brown sugar,flour,butter,14
sugar,vanilla sugar,baking powder,butter,14
vanilla sugar,flour,baking powder,butter,14
milk,flour,cardamom,butter,14
egg,sugar,cardamom,flour,14
cream,butter,baking powder,flour,14
cream,flour,baking powder,butter,14
butter,milk,cardamom,flour,14
milk,sugar,vanilla sugar,flour,14
sugar,zest,flour,lemon,14
sugar,lemon,flour,zest,14
broth,plain flour,flour,butter,14
egg,butter,baking powder,flour,14
egg,butter,baking powder,wheat flour,14
egg,flour,baking powder,butter,14
egg,flour,baking powder,sugar,14
egg,flour,baking powder,wheat flour,14
cream,broth,onion,butter,14
egg,sugar,baking powder,flour,14
egg,flour,cardamom,sugar,14
egg,baking powder,wheat flour,butter,14
egg,baking powder,wheat flour,flour,14
butter,milk,bread flour,flour,14
butter,vanilla sugar,baking powder,sugar,14
butter,vanilla sugar,baking powder,flour,14
butter,broth,plain flour,flour,14
butter,brown sugar,flour,sugar,14
milk,vanilla sugar,flour,sugar,14
sugar,plain flour,baking powder,flour,14
zest,lemon,flour,sugar,14
plain flour,flour,baking powder,sugar,14
butter,milk,flour,breadcrumbs,13
butter,sugar,flour,zest,13
butter,sugar,flour,lemon,13
butter,flour,wheat flour,golden syrup,13
sugar,flour,wheat flour,zest,13
milk,sugar,flour,yeast,13
butter,milk,sugar,yeast,13
milk,flour,wheat flour,pastry,13
sugar,flour,baking powder,zest,13
sugar,flour,baking powder,lemon,13
milk,plain flour,flour,egg,13
egg,butter,flour,cardamom,13
cream,butter,milk,egg,13
butter,sugar,baking powder,egg,13
butter,sugar,baking powder,cream,13
egg,butter,milk,cream,13
cream,butter,sugar,baking powder,13
flour,baking powder,wheat flour,vanilla sugar,13
egg,milk,flour,plain flour,13
cream,sugar,flour,egg,13
sugar,baking powder,wheat flour,egg,13
sugar,baking powder,wheat flour,vanilla sugar,13
cream,butter,onion,beef,13
egg,butter,sugar,baking powder,13
egg,sugar,flour,cream,13
egg,cream,butter,milk,13
egg,milk,sugar,cardamom,13
butter,flour,breadcrumbs,milk,13
egg,sugar,wheat flour,baking powder,13
butter,flour,rye flour,bread flour,13
butter,flour,rye flour,rye dough,13
butter,broth,onion,vegetables,13
butter,flour,bread flour,yeast,13
butter,flour,bread flour,rye flour,13
egg,plain flour,flour,milk,13
butter,flour,yeast,bread flour,13
butter,onion,beef,cream,13
butter,onion,beef,minced beef,13
butter,minced beef,beef,onion,13
milk,flour,yeast,sugar,13
egg,cream,sugar,flour,13
butter,milk,yeast,sugar,13
butter,lemon,flour,sugar,13
butter,flour,cardamom,egg,13
milk,sugar,cardamom,egg,13
sugar,zest,lemon,vanilla sugar,13
flour,rye flour,rye dough,butter,13
flour,rye flour,rye dough,yeast,13
egg,cream,flour,sugar,13
butter,vegetables,onion,broth,13
egg,cream,milk,butter,13
