Ing1,Ing2,Ing3,Ing4,Rank
butter,vegetables,broth,beef chuck,2
butter,vegetables,broth,lamb neck,2
butter,vegetables,broth,pearl barley,2
butter,vegetables,broth,white bread,2
butter,vegetables,broth,brown cheese,2
butter,onion,potatoes,egg yolks,2
butter,onion,potatoes,vegetables,2
butter,onion,potatoes,firm potatoes,2
butter,onion,potatoes,mustard,2
butter,onion,potatoes,chives,2
butter,onion,potatoes,mustard sauce,2
butter,onion,potatoes,white fish,2
butter,onion,potatoes,cooked fish,2
butter,onion,potatoes,beef,2
butter,onion,potatoes,hash,2
butter,onion,potatoes,rye flour,2
butter,onion,potatoes,brown mustard,2
butter,potatoes,floury potatoes,cream,2
butter,potatoes,floury potatoes,vegetables,2
butter,potatoes,floury potatoes,firm potatoes,2
butter,potatoes,floury potatoes,carrots,2
butter,potatoes,floury potatoes,oil,2
butter,potatoes,floury potatoes,nutmeg,2
butter,potatoes,floury potatoes,cheese,2
butter,potatoes,floury potatoes,allspice berries,2
butter,potatoes,floury potatoes,mustard,2
butter,potatoes,floury potatoes,breadcrumbs,2
butter,potatoes,floury potatoes,bacon,2
butter,potatoes,floury potatoes,coarse salt,2
butter,potatoes,floury potatoes,beef,2
butter,potatoes,floury potatoes,pork shoulder,2
butter,potatoes,floury potatoes,rye dough,2
butter,potatoes,floury potatoes,brown cheese,2
butter,bread flour,wheat flour,egg,2
butter,bread flour,wheat flour,hard cheese,2
butter,bread flour,wheat flour,dry flatbread,2
butter,bread flour,wheat flour,plain flour,2
butter,bread flour,wheat flour,brown sugar,2
butter,bread flour,wheat flour,cloves,2
butter,bread flour,wheat flour,ginger,2
butter,bread flour,wheat flour,orange,2
butter,bread flour,wheat flour,baker ammonia,2
butter,bread flour,wheat flour,icing sugar,2
butter,bread flour,wheat flour,biscuit,2
vegetables,carrots,onion,egg,2
vegetables,carrots,onion,hard cheese,2
vegetables,carrots,onion,sugar juice,2
vegetables,carrots,onion,cheese,2
vegetables,carrots,onion,allspice berries,2
vegetables,carrots,onion,mustard,2
vegetables,carrots,onion,cauliflower,2
vegetables,carrots,onion,breadcrumbs,2
vegetables,carrots,onion,fresh peas,2
vegetables,carrots,onion,yellow split peas,2
vegetables,carrots,onion,pork belly,2
vegetables,carrots,onion,pork belly,2
vegetables,carrots,onion,white fish,2
vegetables,carrots,onion,pearl barley,2
vegetables,carrots,onion,lamb neck,2
vegetables,carrots,onion,pearl barley,2
vegetables,carrots,onion,rolled oats,2
vegetables,carrots,onion,salted butter,2
peppercorns,vinegar,white vinegar,egg yolks,2
peppercorns,vinegar,white vinegar,plain flour,2
peppercorns,vinegar,white vinegar,brown sugar,2
peppercorns,vinegar,white vinegar,lemon,2
peppercorns,vinegar,white vinegar,lamb,2
peppercorns,vinegar,white vinegar,black pepper,2
peppercorns,vinegar,white vinegar,cloves,2
peppercorns,vinegar,white vinegar,coarse rye flour,2
peppercorns,vinegar,white vinegar,pike,2
peppercorns,vinegar,white vinegar,salmon,2
peppercorns,vinegar,white vinegar,whitefish,2
peppercorns,vinegar,white vinegar,strong unsweetened mustard,2
peppercorns,vinegar,white vinegar,salmon fillet,2
peppercorns,vinegar,white vinegar,parsley butter,2
peppercorns,vinegar,white vinegar,rye flour,2
peppercorns,vinegar,white vinegar,dill fronds,2
peppercorns,vinegar,white vinegar,sugar syrup,2
peppercorns,vinegar,white vinegar,fish bones,2
peppercorns,vinegar,white vinegar,brown mustard,2
bay leaf,onion,thyme,egg,2
bay leaf,onion,thyme,egg yolks,2
bay leaf,onion,thyme,carrots,2
bay leaf,onion,thyme,bay leaves,2
bay leaf,onion,thyme,mustard,2
bay leaf,onion,thyme,celeriac,2
bay leaf,onion,thyme,beef brisket,2
bay leaf,onion,thyme,beef,2
bay leaf,onion,thyme,lamb shoulder,2
bay leaf,onion,thyme,parsley butter,2
bay leaf,onion,thyme,lamb stock,2
bay leaf,onion,thyme,mutton,2
bay leaf,onion,thyme,meat and bones,2
vinegar,onion,white vinegar,egg yolks,2
vinegar,onion,white vinegar,sugar juice,2
vinegar,onion,white vinegar,plain flour,2
vinegar,onion,white vinegar,flour,2
vinegar,onion,white vinegar,parsley,2
vinegar,onion,white vinegar,leek,2
vinegar,onion,white vinegar,beetroot,2
vinegar,onion,white vinegar,dill,2
vinegar,onion,white vinegar,garlic,2
vinegar,onion,white vinegar,whole fish,2
vinegar,onion,white vinegar,whitefish,2
vinegar,onion,white vinegar,sprats,2
vinegar,onion,white vinegar,beef,2
vinegar,onion,white vinegar,liver,2
vinegar,mustard,white vinegar,egg yolks,2
vinegar,mustard,white vinegar,kale,2
vinegar,mustard,white vinegar,lemon,2
vinegar,mustard,white vinegar,cheese,2
vinegar,mustard,white vinegar,chives,2
vinegar,mustard,white vinegar,mayonnaise,2
vinegar,mustard,white vinegar,whole fish,2
vinegar,mustard,white vinegar,strong unsweetened mustard,2
vinegar,mustard,white vinegar,white bread,2
vinegar,mustard,white vinegar,yellow mustard,2
flour,coarse rye flour,coarse salt,vanilla sugar,2
flour,coarse rye flour,coarse salt,vegetables,2
flour,coarse rye flour,coarse salt,peppercorns,2
flour,coarse rye flour,coarse salt,brown sugar,2
flour,coarse rye flour,coarse salt,cheese,2
flour,coarse rye flour,coarse salt,bay leaves,2
flour,coarse rye flour,coarse salt,black pepper,2
flour,coarse rye flour,coarse salt,allspice berries,2
flour,coarse rye flour,coarse salt,pickling liquor,2
flour,coarse rye flour,coarse salt,whole fish,2
flour,coarse rye flour,coarse salt,strong unsweetened mustard,2
flour,coarse rye flour,coarse salt,cooked fish,2
flour,coarse rye flour,coarse salt,blood,2
flour,coarse rye flour,coarse salt,pig blood,2
flour,coarse rye flour,coarse salt,cow blood,2
flour,coarse rye flour,coarse salt,wheat flour,2
flour,coarse rye flour,coarse salt,rye kernels,2
flour,coarse rye flour,coarse salt,ground rye malt,2
flour,coarse rye flour,coarse salt,white bread,2
flour,coarse rye flour,coarse salt,pickling liquor,2
flour,coarse salt,rye flour,vanilla sugar,2
flour,coarse salt,rye flour,vegetables,2
flour,coarse salt,rye flour,peppercorns,2
flour,coarse salt,rye flour,brown sugar,2
flour,coarse salt,rye flour,cheese,2
flour,coarse salt,rye flour,bay leaves,2
flour,coarse salt,rye flour,black pepper,2
flour,coarse salt,rye flour,allspice berries,2
flour,coarse salt,rye flour,pickling liquor,2
flour,coarse salt,rye flour,whole fish,2
flour,coarse salt,rye flour,strong unsweetened mustard,2
flour,coarse salt,rye flour,cooked fish,2
flour,coarse salt,rye flour,blood,2
flour,coarse salt,rye flour,pig blood,2
flour,coarse salt,rye flour,cow blood,2
flour,coarse salt,rye flour,wheat flour,2
flour,coarse salt,rye flour,rye kernels,2
flour,coarse salt,rye flour,ground rye malt,2
flour,coarse salt,rye flour,white bread,2
flour,coarse salt,rye flour,pickling liquor,2
flour,rye flour,wheat flour,egg,2
flour,rye flour,wheat flour,cream,2
flour,rye flour,wheat flour,firm potatoes,2
flour,rye flour,wheat flour,broth,2
flour,rye flour,wheat flour,cloves,2
flour,rye flour,wheat flour,bacon,2
flour,rye flour,wheat flour,coarse salt,2
flour,rye flour,wheat flour,blood,2
flour,rye flour,wheat flour,pig blood,2
flour,rye flour,wheat flour,cow blood,2
flour,rye flour,wheat flour,beer,2
flour,rye flour,wheat flour,orange,2
flour,rye flour,wheat flour,brown cheese,2
onion,pork,beef,hard cheese,2
onion,pork,beef,sugar,2
onion,pork,beef,golden syrup,2
onion,pork,beef,cabbage,2
onion,pork,beef,cheese,2
onion,pork,beef,meat stock,2
onion,pork,beef,black pepper,2
onion,pork,beef,potatoes,2
onion,pork,beef,pork belly,2
onion,pork,beef,pork belly,2
onion,pork,beef,sweet fried onions,2
onion,pork,beef,cabbage,2
onion,pork,beef,lean pork,2
onion,pork,beef,meat patties,2
onion,pork,beef,lamb shoulder,2
onion,pork,beef,pork shoulder,2
onion,pork,beef,rye flour,2
onion,pork,beef,fatty minced pork,2
onion,pork,beef,string mustard,2
onion,pork,beef,beef suet,2
coarse rye flour,coarse salt,rye flour,vanilla sugar,2
coarse rye flour,coarse salt,rye flour,vegetables,2
coarse rye flour,coarse salt,rye flour,peppercorns,2
coarse rye flour,coarse salt,rye flour,brown sugar,2
coarse rye flour,coarse salt,rye flour,cheese,2
coarse rye flour,coarse salt,rye flour,bay leaves,2
coarse rye flour,coarse salt,rye flour,black pepper,2
coarse rye flour,coarse salt,rye flour,allspice berries,2
coarse rye flour,coarse salt,rye flour,pickling liquor,2
coarse rye flour,coarse salt,rye flour,whole fish,2
coarse rye flour,coarse salt,rye flour,strong unsweetened mustard,2
coarse rye flour,coarse salt,rye flour,cooked fish,2
coarse rye flour,coarse salt,rye flour,blood,2
coarse rye flour,coarse salt,rye flour,pig blood,2
coarse rye flour,coarse salt,rye flour,cow blood,2
coarse rye flour,coarse salt,rye flour,wheat flour,2
coarse rye flour,coarse salt,rye flour,rye kernels,2
coarse rye flour,coarse salt,rye flour,ground rye malt,2
coarse rye flour,coarse salt,rye flour,white bread,2
coarse rye flour,coarse salt,rye flour,pickling liquor,2
egg,cream,egg yolks,Attika vinegar,2
egg,cream,egg yolks,vanilla sugar,2
egg,cream,egg yolks,peppercorns,2
egg,cream,egg yolks,lamb,2
egg,cream,egg yolks,leek,2
egg,cream,egg yolks,mustard,2
egg,cream,egg yolks,vegetable stock,2
egg,cream,egg yolks,potatoes,2
egg,cream,egg yolks,sour cream,2
egg,cream,egg yolks,celery,2
egg,cream,egg yolks,mustard sauce,2
egg,cream,egg yolks,white fish,2
egg,cream,egg yolks,beef,2
egg,cream,egg yolks,veal breast,2
egg,cream,egg yolks,dill fronds,2
egg,cream,egg yolks,flaked almonds,2
egg,cream,egg yolks,toasted almond flakes,2
egg,cream,egg yolks,egg whites,2
egg,cream,egg yolks,meringue,2
egg,sugar,egg yolks,Attika vinegar,2
egg,sugar,egg yolks,vanilla sugar,2
egg,sugar,egg yolks,broth,2
egg,sugar,egg yolks,peppercorns,2
egg,sugar,egg yolks,bay leaf,2
egg,sugar,egg yolks,leek,2
egg,sugar,egg yolks,chives,2
egg,sugar,egg yolks,sour cream,2
egg,sugar,egg yolks,thyme,2
egg,sugar,egg yolks,white fish,2
egg,sugar,egg yolks,raisins,2
egg,sugar,egg yolks,baking powder,2
egg,sugar,egg yolks,dill fronds,2
egg,sugar,egg yolks,cardamom,2
egg,sugar,egg yolks,ground almonds,2
egg,sugar,egg yolks,toasted almond flakes,2
egg,sugar,egg yolks,meringue,2
egg,sugar,baking powder,egg yolks,2
egg,sugar,baking powder,cloves,2
egg,sugar,baking powder,ginger,2
egg,sugar,baking powder,chocolate icing,2
egg,sugar,baking powder,pastry,2
egg,sugar,baking powder,dark chocolate,2
egg,sugar,baking powder,flaked almonds,2
egg,sugar,baking powder,vanilla pastry cream,2
egg,sugar,baking powder,meringue,2
egg,vinegar,white vinegar,hard cheese,2
egg,vinegar,white vinegar,milk,2
egg,vinegar,white vinegar,Attika vinegar,2
egg,vinegar,white vinegar,sugar juice,2
egg,vinegar,white vinegar,cheese,2
egg,vinegar,white vinegar,lamb,2
egg,vinegar,white vinegar,meat stock,2
egg,vinegar,white vinegar,parsley,2
egg,vinegar,white vinegar,leek,2
egg,vinegar,white vinegar,breadcrumbs,2
egg,vinegar,white vinegar,garlic,2
egg,vinegar,white vinegar,whole fish,2
egg,vinegar,white vinegar,cod,2
egg,vinegar,white vinegar,veal breast,2
egg,vinegar,white vinegar,dill fronds,2
egg,vinegar,white vinegar,brown mustard,2
egg,flour,cardamom,ground cinnamon,2
egg,flour,cardamom,egg yolks,2
egg,flour,cardamom,sugar juice,2
egg,flour,cardamom,oil,2
egg,flour,cardamom,nutmeg,2
egg,flour,cardamom,vinegar,2
egg,flour,cardamom,raisins,2
egg,flour,cardamom,baker ammonia,2
egg,flour,cardamom,pearl sugar,2
egg,flour,cardamom,icing sugar,2
egg,flour,cardamom,soft fruit,2
egg,baking powder,wheat flour,egg yolks,2
egg,baking powder,wheat flour,cheese,2
egg,baking powder,wheat flour,cloves,2
egg,baking powder,wheat flour,ginger,2
egg,baking powder,wheat flour,icing sugar,2
egg,baking powder,wheat flour,pastry,2
egg,baking powder,wheat flour,flaked almonds,2
egg,baking powder,wheat flour,brown cheese,2
cream,butter,pork,golden syrup,2
cream,butter,pork,vegetables,2
cream,butter,pork,broth,2
cream,butter,pork,nutmeg,2
cream,butter,pork,pork stock,2
cream,butter,pork,meat stock,2
cream,butter,pork,dried marjoram,2
cream,butter,pork,mustard,2
cream,butter,pork,potatoes,2
cream,butter,pork,bacon,2
cream,butter,pork,mustard sauce,2
cream,butter,pork,floury potatoes,2
cream,butter,pork,meat patties,2
cream,butter,pork,dried marjoram,2
cream,butter,pork,mutton,2
cream,butter,pork,wheat flour,2
cream,butter,pork,salted butter,2
cream,vegetables,onion,hard cheese,2
cream,vegetables,onion,golden syrup,2
cream,vegetables,onion,egg yolks,2
cream,vegetables,onion,sugar juice,2
cream,vegetables,onion,chicken stock,2
cream,vegetables,onion,cabbage,2
cream,vegetables,onion,bay leaves,2
cream,vegetables,onion,minced beef,2
cream,vegetables,onion,cloves,2
cream,vegetables,onion,cauliflower,2
cream,vegetables,onion,chives,2
cream,vegetables,onion,vegetable stock,2
cream,vegetables,onion,potatoes,2
cream,vegetables,onion,celery,2
cream,vegetables,onion,sprats,2
cream,vegetables,onion,white fish,2
cream,vegetables,onion,chicken stock,2
cream,vegetables,onion,grouse,2
cream,vegetables,onion,carcasses,2
cream,vegetables,onion,juniper berries,2
cream,vegetables,onion,pork,2
cream,vegetables,onion,cabbage,2
cream,vegetables,onion,lamb shoulder,2
cream,vegetables,onion,lamb stock,2
cream,vegetables,onion,mutton,2
cream,vegetables,onion,brown cheese,2
cream,onion,beef,Attika vinegar,2
cream,onion,beef,golden syrup,2
cream,onion,beef,egg yolks,2
cream,onion,beef,pork stock,2
cream,onion,beef,peppercorns,2
cream,onion,beef,cabbage,2
cream,onion,beef,vinegar,2
cream,onion,beef,bay leaves,2
cream,onion,beef,cloves,2
cream,onion,beef,broccoli,2
cream,onion,beef,potatoes,2
cream,onion,beef,garlic,2
cream,onion,beef,white vinegar,2
cream,onion,beef,cabbage,2
cream,onion,beef,mustard powder,2
cream,onion,beef,meat patties,2
cream,onion,beef,lamb stock,2
cream,onion,beef,mutton,2
cream,onion,beef,string mustard,2
cream,onion,beef,macaroni,2
cream,onion,beef,white bread,2
hard cheese,butter,cheese,egg yolks,2
hard cheese,butter,cheese,nutmeg,2
hard cheese,butter,cheese,fennel,2
hard cheese,butter,cheese,aniseeds,2
hard cheese,butter,cheese,brown sugar,2
hard cheese,butter,cheese,vinegar,2
hard cheese,butter,cheese,parsley,2
hard cheese,butter,cheese,cauliflower,2
hard cheese,butter,cheese,chives,2
hard cheese,butter,cheese,salmon,2
hard cheese,butter,cheese,white vinegar,2
hard cheese,butter,cheese,sprats,2
hard cheese,butter,cheese,parsley butter,2
hard cheese,butter,cheese,bread flour,2
hard cheese,butter,cheese,dill fronds,2
hard cheese,milk,cheese,caraway,2
hard cheese,milk,cheese,golden syrup,2
hard cheese,milk,cheese,vegetables,2
hard cheese,milk,cheese,brown sugar,2
hard cheese,milk,cheese,vinegar,2
hard cheese,milk,cheese,parsley,2
hard cheese,milk,cheese,broccoli,2
hard cheese,milk,cheese,white vinegar,2
hard cheese,milk,cheese,cooked fish,2
hard cheese,milk,cheese,parsley butter,2
hard cheese,milk,cheese,yeast,2
hard cheese,milk,cheese,caraway,2
hard cheese,milk,cheese,rye dough,2
butter,milk,white fish,carrots,2
butter,milk,white fish,oil,2
butter,milk,white fish,vinegar,2
butter,milk,white fish,bacon,2
butter,milk,white fish,sour cream,2
butter,milk,white fish,garlic,2
butter,milk,white fish,whole fish,2
butter,milk,white fish,coarse rye flour,2
butter,milk,white fish,salmon,2
butter,milk,white fish,perch fillets,2
butter,milk,white fish,mustard sauce,2
butter,milk,white fish,white vinegar,2
butter,milk,white fish,salted cod,2
butter,milk,white fish,cod,2
butter,milk,white fish,rye flour,2
butter,milk,white fish,fish bones,2
butter,milk,white fish,brown mustard,2
butter,milk,bread flour,caraway,2
butter,milk,bread flour,ground cinnamon,2
butter,milk,bread flour,dry flatbread,2
butter,milk,bread flour,fennel,2
butter,milk,bread flour,cheese,2
butter,milk,bread flour,cassia cinnamon,2
butter,milk,bread flour,breadcrumbs,2
butter,milk,bread flour,perch fillets,2
butter,milk,bread flour,coarse salt,2
butter,milk,bread flour,baking powder,2
butter,milk,bread flour,caraway,2
butter,milk,bread flour,sugar syrup,2
butter,sugar,zest,oil,2
butter,sugar,zest,yeast,2
butter,sugar,zest,orange,2
butter,sugar,zest,white icing,2
butter,sugar,zest,white icing,2
butter,sugar,zest,candied orange peel,2
butter,vanilla sugar,baking powder,sugar juice,2
butter,vanilla sugar,baking powder,egg whites,2
butter,broth,plain flour,potato starch,2
butter,broth,plain flour,spinach leaves,2
butter,broth,plain flour,chicken stock,2
butter,broth,plain flour,lemon,2
butter,broth,plain flour,bay leaves,2
butter,broth,plain flour,leek,2
butter,broth,plain flour,cauliflower,2
butter,broth,plain flour,vegetable stock,2
butter,broth,plain flour,potatoes,2
butter,broth,plain flour,ginger,2
butter,broth,plain flour,breadcrumbs,2
butter,broth,plain flour,celery,2
butter,broth,plain flour,chicken,2
butter,broth,plain flour,chicken stock,2
butter,broth,plain flour,lamb shoulder,2
butter,broth,plain flour,veal breast,2
butter,broth,beef,egg,2
butter,broth,beef,sugar,2
butter,broth,beef,golden syrup,2
butter,broth,beef,peppercorns,2
butter,broth,beef,cabbage,2
butter,broth,beef,red onion,2
butter,broth,beef,coarse salt,2
butter,broth,beef,sweet fried onions,2
butter,broth,beef,cabbage,2
butter,broth,beef,beef chuck,2
butter,broth,beef,pork shoulder,2
butter,broth,beef,lamb stock,2
butter,broth,beef,beer,2
butter,broth,beef,fatty minced pork,2
butter,broth,beef,white bread,2
butter,brown sugar,flour,hard cheese,2
butter,brown sugar,flour,cheese,2
butter,brown sugar,flour,onion,2
butter,brown sugar,flour,coarse rye flour,2
butter,brown sugar,flour,coarse salt,2
butter,brown sugar,flour,beef,2
butter,brown sugar,flour,bread flour,2
butter,brown sugar,flour,rye flour,2
butter,brown sugar,flour,baker ammonia,2
butter,brown sugar,flour,pearl sugar,2
butter,brown sugar,flour,cardamom,2
butter,brown sugar,flour,icing sugar,2
butter,brown sugar,flour,brown cheese,2
butter,lemon,white fish,oil,2
butter,lemon,white fish,plain flour,2
butter,lemon,white fish,onion,2
butter,lemon,white fish,parsley,2
butter,lemon,white fish,black pepper,2
butter,lemon,white fish,chives,2
butter,lemon,white fish,potatoes,2
butter,lemon,white fish,dill,2
butter,lemon,white fish,horseradish,2
butter,lemon,white fish,pike,2
butter,lemon,white fish,salmon,2
butter,lemon,white fish,parsley butter,2
butter,flour,coarse salt,cream,2
butter,flour,coarse salt,vegetables,2
butter,flour,coarse salt,brown sugar,2
butter,flour,coarse salt,lemon,2
butter,flour,coarse salt,cheese,2
butter,flour,coarse salt,bay leaves,2
butter,flour,coarse salt,black pepper,2
butter,flour,coarse salt,allspice berries,2
butter,flour,coarse salt,pickling liquor,2
butter,flour,coarse salt,mustard sauce,2
butter,flour,coarse salt,strong unsweetened mustard,2
butter,flour,coarse salt,salted cod,2
butter,flour,coarse salt,cod,2
butter,flour,coarse salt,pearl barley,2
butter,flour,coarse salt,pork,2
butter,flour,coarse salt,pearl barley,2
butter,flour,coarse salt,wheat flour,2
butter,flour,coarse salt,salted butter,2
butter,flour,coarse salt,white bread,2
butter,flour,coarse salt,almond paste,2
butter,flour,coarse salt,brown mustard,2
butter,flour,coarse salt,pickling liquor,2
butter,flour,coarse salt,brown cheese,2
butter,flour,pork,egg,2
butter,flour,pork,sugar,2
butter,flour,pork,firm potatoes,2
butter,flour,pork,nutmeg,2
butter,flour,pork,peppercorns,2
butter,flour,pork,lamb,2
butter,flour,pork,meat stock,2
butter,flour,pork,bay leaves,2
butter,flour,pork,mustard,2
butter,flour,pork,celery,2
butter,flour,pork,thyme,2
butter,flour,pork,coarse salt,2
butter,flour,pork,pearl barley,2
butter,flour,pork,light lager,2
butter,flour,pork,blood,2
butter,flour,pork,pig blood,2
butter,flour,pork,cow blood,2
butter,flour,pork,pancakes,2
butter,flour,pork,pearl barley,2
butter,flour,pork,liver,2
butter,flour,pork,pork liver,2
butter,flour,pork,rye dough,2
butter,flour,beef,sugar,2
butter,flour,beef,potato starch,2
butter,flour,beef,vegetables,2
butter,flour,beef,firm potatoes,2
butter,flour,beef,pork stock,2
butter,flour,beef,brown sugar,2
butter,flour,beef,cabbage,2
butter,flour,beef,cheese,2
butter,flour,beef,bay leaves,2
butter,flour,beef,parsley,2
butter,flour,beef,black pepper,2
butter,flour,beef,mushroom soy sauce,2
butter,flour,beef,breadcrumbs,2
butter,flour,beef,bacon,2
butter,flour,beef,thyme,2
butter,flour,beef,cabbage,2
butter,flour,beef,parsley butter,2
butter,flour,beef,lamb stock,2
butter,flour,beef,rye flour,2
butter,flour,beef,pork back fat,2
butter,flour,beef,beer,2
butter,flour,beef,wheat flour,2
butter,flour,beef,macaroni,2
butter,flour,beef,brown cheese,2
milk,sugar,zest,cinnamon stick,2
milk,sugar,zest,brown sugar,2
milk,sugar,zest,cassia cinnamon,2
milk,sugar,zest,raisins,2
milk,sugar,zest,yeast,2
milk,sugar,zest,pastry,2
milk,sugar,zest,candied orange peel,2
milk,sugar,zest,cassia cinnamon stick,2
milk,sugar,yeast,zest,2
milk,sugar,yeast,vanilla sugar,2
milk,sugar,yeast,dry flatbread,2
milk,sugar,yeast,oil,2
milk,sugar,yeast,cheese,2
milk,sugar,yeast,raisins,2
milk,sugar,yeast,baking powder,2
milk,sugar,yeast,baker ammonia,2
milk,vanilla sugar,flour,potato starch,2
milk,vanilla sugar,flour,oil,2
milk,vanilla sugar,flour,breadcrumbs,2
milk,vanilla sugar,flour,raisins,2
milk,vanilla sugar,flour,egg whites,2
milk,vanilla sugar,flour,soft fruit,2
milk,flour,pastry,zest,2
milk,flour,pastry,brown sugar,2
milk,flour,pastry,lemon,2
milk,flour,pastry,lard,2
milk,flour,pastry,lard,2
milk,flour,pastry,pancakes,2
milk,flour,pastry,meat pastry,2
milk,flour,pastry,pearl sugar,2
milk,flour,pastry,icing sugar,2
milk,flour,pastry,brown cheese,2
sugar,ground cinnamon,flour,cream,2
sugar,ground cinnamon,flour,firm potatoes,2
sugar,ground cinnamon,flour,black pepper,2
sugar,ground cinnamon,flour,potatoes,2
sugar,ground cinnamon,flour,breadcrumbs,2
sugar,ground cinnamon,flour,bacon,2
sugar,ground cinnamon,flour,pearl barley,2
sugar,ground cinnamon,flour,rye flour,2
sugar,ground cinnamon,flour,pig blood,2
sugar,ground cinnamon,flour,sheep blood,2
sugar,ground cinnamon,flour,pearl barley,2
sugar,ground cinnamon,flour,icing sugar,2
sugar,ground cinnamon,flour,ground almonds,2
sugar,ground cinnamon,flour,cassia cinnamon stick,2
sugar,zest,vanilla sugar,potato starch,2
sugar,zest,vanilla sugar,oil,2
sugar,zest,vanilla sugar,raisins,2
sugar,zest,vanilla sugar,icing sugar,2
sugar,zest,vanilla sugar,pastry,2
sugar,plain flour,baking powder,brown sugar,2
sugar,plain flour,baking powder,breadcrumbs,2
sugar,plain flour,baking powder,yeast,2
sugar,plain flour,baking powder,baker ammonia,2
sugar,plain flour,baking powder,icing sugar,2
sugar,plain flour,baking powder,cocoa powder,2
sugar,lemon,baking powder,Attika vinegar,2
sugar,lemon,baking powder,lard,2
sugar,lemon,baking powder,lard,2
sugar,lemon,baking powder,baker ammonia,2
sugar,lemon,baking powder,icing sugar,2
sugar,lemon,baking powder,pastry,2
sugar,lemon,baking powder,soft fruit,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,butter,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,cream liquid rennet,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,flour,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,cloves,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,apples,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,sour cream,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,raisins,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,beer,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,liquid rennet,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,apple juice,2
cinnamon stick,cassia cinnamon,cassia cinnamon stick,vanilla bean,2
zest,lemon,flour,cream,2
zest,lemon,flour,brown sugar,2
zest,lemon,flour,pastry,2
vegetables,carrots,potatoes,hard cheese,2
vegetables,carrots,potatoes,spinach leaves,2
vegetables,carrots,potatoes,cheese,2
vegetables,carrots,potatoes,meat stock,2
vegetables,carrots,potatoes,allspice berries,2
vegetables,carrots,potatoes,beetroot,2
vegetables,carrots,potatoes,dill,2
vegetables,carrots,potatoes,parsnips,2
vegetables,carrots,potatoes,yellow split peas,2
vegetables,carrots,potatoes,coarse salt,2
vegetables,carrots,potatoes,beef chuck,2
vegetables,carrots,potatoes,braising beef,2
vegetables,carrots,potatoes,lamb shoulder,2
vegetables,carrots,potatoes,lamb neck,2
vegetables,carrots,potatoes,dill fronds,2
vegetables,onion,thyme,sugar,2
vegetables,onion,thyme,lemon,2
vegetables,onion,thyme,black pepper,2
vegetables,onion,thyme,mustard,2
vegetables,onion,thyme,swede,2
vegetables,onion,thyme,red onion,2
vegetables,onion,thyme,salmon,2
vegetables,onion,thyme,pork belly,2
vegetables,onion,thyme,pork belly,2
vegetables,onion,thyme,pearl barley,2
vegetables,onion,thyme,pork,2
vegetables,onion,thyme,parsley butter,2
vegetables,onion,thyme,lamb stock,2
vegetables,onion,thyme,pearl barley,2
vegetables,onion,thyme,meat and bones,2
broth,meat stock,beef,egg,2
broth,meat stock,beef,golden syrup,2
broth,meat stock,beef,carrots,2
broth,meat stock,beef,bay leaf,2
broth,meat stock,beef,cabbage,2
broth,meat stock,beef,lamb,2
broth,meat stock,beef,parsley,2
broth,meat stock,beef,mustard,2
broth,meat stock,beef,red onion,2
broth,meat stock,beef,thyme,2
broth,meat stock,beef,sweet fried onions,2
broth,meat stock,beef,pearl barley,2
broth,meat stock,beef,cabbage,2
broth,meat stock,beef,beef chuck,2
broth,meat stock,beef,braising beef,2
broth,meat stock,beef,pork shoulder,2
broth,meat stock,beef,parsley butter,2
broth,meat stock,beef,lamb stock,2
broth,meat stock,beef,tasty stock,2
broth,meat stock,beef,beer,2
broth,meat stock,beef,pearl barley,2
broth,meat stock,beef,fatty minced pork,2
plain flour,flour,baking powder,brown sugar,2
plain flour,flour,baking powder,breadcrumbs,2
plain flour,flour,baking powder,yeast,2
plain flour,flour,baking powder,baker ammonia,2
plain flour,flour,baking powder,icing sugar,2
plain flour,flour,baking powder,cocoa powder,2
plain flour,flour,wheat flour,golden syrup,2
plain flour,flour,wheat flour,firm potatoes,2
plain flour,flour,wheat flour,oil,2
plain flour,flour,wheat flour,potatoes,2
plain flour,flour,wheat flour,breadcrumbs,2
plain flour,flour,wheat flour,raisins,2
plain flour,flour,wheat flour,baker ammonia,2
plain flour,flour,wheat flour,cocoa powder,2
plain flour,flour,wheat flour,flaked almonds,2
plain flour,flour,wheat flour,ground almonds,2
lemon,vinegar,white vinegar,sugar,2
lemon,vinegar,white vinegar,Attika vinegar,2
lemon,vinegar,white vinegar,sugar juice,2
lemon,vinegar,white vinegar,broth,2
lemon,vinegar,white vinegar,peppercorns,2
lemon,vinegar,white vinegar,meat stock,2
lemon,vinegar,white vinegar,allspice berries,2
lemon,vinegar,white vinegar,mustard,2
lemon,vinegar,white vinegar,mayonnaise,2
lemon,vinegar,white vinegar,dill,2
